1,
2,【疫情形势好转 #日本或于明年2月重启旅游补贴#】日本政府人士11日披露，鉴于国内疫情形势好转，政府考虑明年2月重启旅游补贴政策，但会作适当调整，可能下调补贴比例。调整后的补贴政策可能把每晚住宿费补贴比例由35%降至30%，上限不超过1万日元（约合人民币561元），以便让更多经济型酒店受惠；为鼓励错峰出游，工作日旅游时每天补贴3000日元（约合人民币168元）餐饮、购物优惠券，周末补贴1000日元（约合人民币56元）。据共同社报道，去年总计大约8781万次住宿享受旅游补贴，日本政府为此支出2.7万亿日元（约合人民币1515亿元）。（央视，嘉玛）
3,"【凉了！#布林肯举行防疫部长会议未邀台当局# ，此前岛内亢奋炒作“可能参加”】据台湾“中央社”消息，美国务卿布林肯今天（11日）召开首场防疫部长会议，台媒此前炒作美方是否邀请民进党当局参加，然而美方最后邀请了大陆方面却未邀台湾。美国务院发言人解释称，“受到会议时间与形式限制”未能邀请更多防疫伙伴。对此，有岛内网友称，美国嘴上这个挺那个罩，摆明把台湾当白痴耍。也有网友表示，美国人排的防疫排名，台湾只排第47名，民进党当局别再自我陶醉了。据报道，布林肯今天上午通过视频方式，召开首场COVID-19（新冠肺炎）部长会议，邀集近40名各国外长、观察员与区域组织领袖参加，讨论如何提升疫苗普及率、扩大疫苗产量，并确保所有国家拥有足够资源防范、侦测及因应全球流行病。报道称，中国驻美大使秦刚应邀出席会议，而台湾方面这次却未获邀参加该会议。报道提到，针对台湾方面此次为何没有受邀，美国务院一名发言人以不具名方式告诉台媒称，美国相信所有伙伴须齐力合作才能终结疫情，为更安全的未来铺路。“但很不幸地，因为时间与形式限制，我们无法邀请许多全球防疫上的紧密伙伴。”该发言人还称，美方希望确保所有外长都能够发言，同时确保与会者在区域及经济规模上具多元性。虽非美国所有盟友伙伴都参与今天的部长会议，发言人提到，美方仍会致力与他们在因应疫情、强化全球卫生安全上合作。对于此次台湾方面未获邀参加，有岛内网友表示，台湾地区的防疫韧性排名（美国彭博社发布）第47名, 别再自我陶醉了。”还有网友讽刺，“丐帮（讽刺民进党当局是防疫丐帮向外祈求疫苗）……不请！”也有网友表示，“连个防疫会议都不叫，嘴巴还在这个挺那个罩，摆明跟民进党当局把台湾当空安（闽南话：白痴）耍”。更有网友讽刺，“（民进党当局）不是跟美国很‘麻吉’（台湾俗语：形容关系好）……笑死人！”据此前报道，关于此次布林肯召开的防疫部长会议，台媒此前热炒美方是否邀请台湾方面参加的问题，并多次就相关问题向美方提问，而美方与台湾“驻美代表处”都未给予正面回应。对此，就曾有岛内网友批评，美国玩两手策略，把台湾推向火线，只有民进党当局在自嗨，台湾民众不想为美国上战场。"
4,【#放假通知来了#！时间表实时更新】近期，国内多地发生关联疫情。12日，#北京新增1例核酸阳性#、北京海淀两小区封闭管控。#多所高校因疫情提前放寒假#，最早能提前17天以上。此外，全国各地中小学生的寒假时间已陆续出炉。寒假安排最新情况梳理↓↓看看你的学校有无变化>>
5,#疫情下有哪些平凡又感动的瞬间# 医护人员为校园学生做核酸检测，学生们敬礼致谢，让人破防！#吉团正能量# （今日国土） 吉林共青团的微博视频
6,#江西##最新消息#江西上饶三地多轮大规模核酸筛查，共发现47名阳性人员 最hot视频集合地的微博视频
7,"“双11”期间加强邮件快递预防性消毒的健康提示近期，国内多地检测发现部分货品新冠病毒检测结果呈阳性，多省紧急追查涉疫快递，还有网友因接触涉疫包裹导致健康码变黄。“双11”期间，市民网购商品数量增多，各快递企业已按照疫情防控要求,严格落实对邮件快件处理各环节的消毒杀菌措施，一般情况下，病毒通过快递传播的风险极低，但仍不排除货物、交通工具携带导致传播的可能，并且冬季低温环境有利于新冠病毒存活。为防止新冠病毒通过邮件快递渠道传播扩散，有效控制和降低疫情传播风险，石家庄市疾控中心提醒大家：一、谨慎购物。网购物品时，不要购买来历不明、无核酸检测阴性证明的进口食品，特别是进口冷链食品；要选购“三证齐全”即海关检疫证明、核酸检测证明和消毒证明的产品；要尽量避免从官方公布的国内中、高风险地区通过网购快递渠道购买商品。二、主动报告。如发现涉疫食品，请单独存放，切勿拆封和触碰。第一时间主动向当地村（社区）报备，主动告知食品来源、品种和使用时间等信息。三、取件前。应做好个人防护，佩戴好口罩、一次性手套，自带签字笔，建议携带75%酒精、消毒湿巾或含氯消毒剂（如84消毒液）的消毒喷壶。四、取件时。提倡无触碰配送和扫码取件，通过快递柜收取快递，避免人员面对面接触。邮寄、签收、排队时，应和快递员及其他人保持1米以上的安全距离，避免人员聚集。若无快递柜，建议在门厅处设置一个消毒隔离区域，如果快递不立即使用或无冷藏要求，可以干燥通风放置一段时间，内外包装消毒后再带进房间内。五、取件后。快递建议就地拆封处理，之后做好手部消毒，尽量不将快递外包装带回家中。快递外包装和内部物品可以使用75%酒精或500mg/L的含氯消毒剂擦拭消毒，也可使用消毒湿巾。手部清洁时，要按照“七步洗手法”认真洗手，每步保持在15秒以上。六、回家后。只能回家拆封的快递要做好内外包装的消毒后再带入室内，接触快递包裹后应做好手部清洁，用肥皂液或洗手液按照“七步洗手法”认真洗手，也可用手消毒液或75%酒精消毒双手。消毒前不要用手擦汗或触碰眼、鼻、口。七、拆封后。拆开的废旧纸盒、废弃物包装要避免儿童、宠物接触玩耍，并按照垃圾分类要求尽快妥善处理。八、做好个人健康监测。一旦出现发热、干咳、乏力、咽痛、嗅（味）觉减退、腹泻等症状，应自觉佩戴口罩及时到就近的医疗机构发热门诊就诊，切莫自行用药，以免耽误治疗甚至影响疫情处置。就诊时请尽量避免乘坐公共交通工具，如实报告相关的旅居史和接触史。"
8,#从这些地方进入山东需连续核检#山东疾控最新健康提示：这些人请按规定核酸检测 #今日热门# 思想牢笼的微博视频
9,【今日#部委头条#】详细内容见下方↓↓↓@文旅之声【疫情防控关口前移 强化事前预防——#文化和旅游部将建立旅游热点防疫预报机制#】微博正文
10,【#大连连续3次发非必要不离连通告# 】#大连日均发送旅客量下降96.49%# 11日21点，大连市召开疫情防控新闻发布会，大连市交通运输局局长王少成在发布会上介绍表示，大连市总指挥部连续3次发布非必要不离连通告，不断加严管控措施，空港、铁路、港口等交通枢纽严格落实“非必要不离连”政策。《通告》发布以来，大连市日均发送旅客918人，下降96.49%。 央视网的微博视频
11,【#辽宁新增40例本土确诊# #大连新增40例本土确诊#】11月12日0时至24时，辽宁省新增40例本土新冠肺炎确诊病例（其中29例为无症状感染者转归）、新增3例本土无症状感染者，均为大连市报告。（央视新闻）
12,【家长请注意！#哪些儿童不宜接种新冠疫苗#】儿童注射新冠疫苗有什么禁忌？哪些儿童不宜接种或者暂时不宜接种新冠疫苗？专家表示，急性发热期暂时不宜接种。各种慢性病急性发作期、有严重的过敏反应的，例如打疫苗过敏性休克、喉头水肿等症状的，不适合接种。癫痫发作或患格林巴利类疾病的不宜接种。接种灭活疫苗后，儿童应清淡饮食，避免过度运动和疲劳。注射后如出现身体发热或注射部位红肿、疼痛等，都属正常现象。时间视频的微博视频
13,2021.11.11西班牙卫生部公布的冠状病毒各最新数据（数据截止西班牙时11.11 14点）经测试确诊冠状病毒人数为5042803（昨日确诊总人数为5038517人，与昨日相减新增人数为4286人，西班牙卫生部表示过去24小时新增人数为2487人，具体分布为：- Andalucía: 139- Aragón: 171- Asturias: 44- Baleares: 77- Canarias: 158- Cantabria: 33- Castilla La Mancha: 3- Castilla y León: 183- Cataluña: 418- Ceuta: 1- C. Valenciana: 185- Extremadura: 37- Galicia: 61- Madrid: 412- Melilla: 2- Murcia:62- Navarra: 113- País Vasco:350- La Rioja: 38；因冠状病毒死亡人数达87647人（比昨日新增30人，西班牙卫生部表示过去7天内新增死亡人数为84人。）#西班牙疫情##全球疫情##海外抗疫日记##海外疫情##海外疫情速报##西班牙新型肺炎疫情# 西班牙
14,【大咖录丨美国收紧货币政策如何影响亚洲市场？】美联储日前宣布本月起缩减资产购买规模，意味着新冠疫情爆发后的量化宽松政策转向。美国本轮收紧货币政策步伐如何？将怎样影响市场？大行其道对话星展银行财资市场部董事总经理王良享。 究竟视频的微博视频
15,【#辛集疫情防控人员连续7小时抢修罢工水管#】11月10日，河北辛集。酒店疫情防控工作人员抢修隔离点水管，连续抢修7小时！（辛集发布） 河北长城网的微博视频
16,【#成都1岁确诊病例病情平稳# 有妈妈陪伴照顾】成都市公共卫生临床医疗中心副院长蒋良双12日接受中新网记者采访时介绍，成都本轮疫情中确诊的1岁女孩目前病情平稳。因女孩妈妈也确诊新冠肺炎，因此女孩与妈妈在一个病房，有妈妈陪伴照顾。同时，四川大学华西第二医院、成都市妇女儿童中心医院的儿科专家也入驻病房，专门负责对该病例展开救治。（记者 王鹏 吕杨）
17,#神童确诊新冠#2005年申东熙用艺名神童在组合super junior出道，是sm公司有名的主舞之一，才气满满的童童什么都做的很好，二代团sj真的是好多人的韩流初心，这样的消息很令人难过，希望童导早日好起来 蜀黍说娱乐的微博视频
18,【BBC记者问何时放宽外国人入境限制？外交部回应】#外交部回应何时放宽外国人入境限制#11月11日，外交部发言人汪文斌主持例行记者会。英国广播公司记者：尽管疫情尚未被百分之百控制，最近包括美国在内的很多国家放宽了外国人入境限制，并已给外国人签发了旅游签证。中方对此有何评论，何时放宽外 ...
19,健康科普｜新冠肺炎疫情常态化防控防护指南之企业职工篇
20,【河北晋州发往郑州一批童装存新冠病毒污染风险】11月10日，据郑州市疫情防控指挥通报，河北晋州市发往河南地区的一批童装产品存新冠病毒污染风险，紧急通知各地落实防控措施。通报称，近日河北石家庄晋州市一商贸公司多名员工确诊新冠肺炎，该公司过电商平台销售一批产品存新冠病毒污染风险。经核查，该批产品部分已销往河南。#聚焦新冠肺炎疫情#（记者：雷燕超 制作：李家桐 运营：楚小静） 新京报我们视频的微博视频
