date,confirmed,unconfirmed,cured,died,curConfirmRelative,unconfirmedRelative,cureRelative,diedRelative,overseasInput,overseasInputRelative
09.15,123808,0,115643,5688,86,0,44,0,8732,31
09.16,123904,2,115692,5688,96,2,49,0,8754,22
09.17,123961,1,115746,5688,57,0,54,0,8769,15
09.18,124038,1,115800,5688,77,0,54,0,8792,23
09.19,124102,3,115837,5689,64,2,37,1,8813,21
09.20,124185,4,115873,5689,83,2,36,0,8843,30
09.21,124232,4,115914,5689,47,2,41,0,8868,25
09.22,124283,4,115956,5690,51,2,42,1,8883,15
09.23,124348,2,115995,5690,65,1,39,0,8907,24
09.24,124403,4,116023,5690,55,2,28,0,8935,28
09.25,124447,4,116062,5690,44,0,39,0,8955,20
09.26,124498,2,116099,5690,51,0,37,0,8977,22
09.27,124542,1,116165,5691,44,0,66,1,8995,18
09.28,124591,0,116227,5691,49,0,62,0,9009,14
09.29,124629,1,116294,5691,38,1,67,0,9025,16
09.30,124673,2,116344,5691,44,2,50,0,9049,24
10.01,124729,0,116389,5692,56,0,45,1,9088,39
10.02,124772,0,116442,5692,43,0,53,0,9114,26
10.03,124805,0,116491,5692,33,0,49,0,9140,26
10.04,124843,1,116524,5693,38,1,33,1,9166,26
10.05,124884,1,116573,5693,41,0,49,0,9190,24
10.06,124920,2,116630,5693,36,1,57,0,9215,25
10.07,124954,2,116683,5693,34,0,53,0,9237,22
10.08,124987,2,116723,5694,33,1,40,1,9254,17
10.09,125023,1,116783,5695,36,0,60,1,9278,24
10.10,125055,1,116827,5695,32,0,44,0,9303,25
10.11,125085,1,116889,5695,30,0,62,0,9315,25
10.12,125115,2,116938,5695,30,1,49,0,9337,22
10.13,125143,2,116980,5695,28,0,42,0,9357,20
10.14,125162,2,117075,5695,19,1,95,0,9367,10
10.15,125189,2,117133,5695,27,0,58,0,9381,14
10.16,125226,1,117164,5695,37,0,31,0,9400,19
10.17,125254,1,117194,5695,28,0,30,0,9422,22
10.18,125284,2,117223,5695,30,1,29,0,9438,16
10.19,125322,2,117266,5695,38,0,43,0,9451,13
10.20,125351,1,117305,5695,29,0,39,0,9459,8
10.21,125402,1,117325,5695,51,0,20,0,9474,15
10.22,125462,2,117350,5695,60,1,25,0,9486,12
10.23,125518,2,117382,5695,56,0,32,0,9503,17
10.24,125565,3,117415,5695,47,1,33,0,9507,4
10.25,125620,4,117432,5696,55,1,17,1,9521,14
10.26,125686,4,117457,5696,66,0,25,0,9530,9
10.27,125738,4,117484,5696,52,0,27,0,9546,16
10.28,125810,3,117512,5696,72,1,28,0,9562,16
10.29,125898,3,117528,5696,88,0,16,0,9581,19
10.30,125979,6,117550,5696,81,3,22,0,9604,23
10.31,126078,5,117587,5696,99,1,37,0,9637,33
11.01,126155,3,117615,5696,77,2,28,0,9654,17
11.02,126270,3,117638,5696,115,1,23,0,9670,16
11.03,126384,4,117662,5696,114,3,24,0,9687,17
11.04,126471,4,117692,5696,87,1,30,0,9697,10
11.05,126534,1,117735,5696,63,0,43,0,9712,15
11.06,126616,3,117782,5696,82,2,47,0,9736,24
11.07,126710,1,117838,5696,94,0,56,0,9760,24
11.08,126775,1,117880,5696,65,0,42,0,9779,19
11.09,126836,2,117934,5697,61,1,54,1,9794,15
11.10,126908,2,117972,5697,72,0,38,0,9809,15
11.11,127018,2,118038,5697,110,0,66,0,9828,19
11.12,127104,3,118119,5697,86,1,81,0,9846,18
11.13,127199,2,118182,5697,95,0,63,0,9865,19
