id,date,confirmed,unconfirmed,cured,died,curConfirmRelative,unconfirmedRelative,cureRelative,diedRelative,overseasInput,overseasInputRelative
1,2022-11-05,126534,1,117735,5696,63,0,43,0,9712,15
2,2022-11-06,126616,3,117782,5696,82,2,47,0,9736,24
3,2022-11-07,126710,1,117838,5696,94,0,56,0,9760,24
4,2022-11-08,126775,1,117880,5696,65,0,42,0,9779,19
5,2022-11-09,126836,2,117934,5697,61,1,54,1,9794,15
6,2022-11-10,126908,2,117972,5697,72,0,38,0,9809,15
7,2022-11-11,127018,2,118038,5697,110,0,66,0,9828,19
8,2022-11-12,127104,3,118119,5697,86,1,81,0,9846,18
9,2022-11-13,127199,2,118182,5697,95,0,63,0,9865,19
10,2022-11-14,127260,4,118240,5697,61,2,58,0,9885,20
11,2022-11-15,127297,2,118316,5697,37,1,76,0,9896,11
12,2022-11-16,127331,4,118392,5697,34,2,76,0,9919,23
13,2022-11-17,127374,3,118452,5697,43,0,60,0,9948,29
14,2022-11-18,127405,2,118508,5697,31,0,56,0,9964,16
15,2022-11-19,127439,2,118581,5697,34,0,73,0,9984,20
16,2022-11-20,127463,3,118660,5697,24,1,79,0,9997,13
17,2022-11-21,127512,4,118752,5697,49,2,92,0,10028,31
18,2022-11-22,127537,3,118820,5697,25,0,68,0,10042,14
19,2022-11-23,127572,1,118892,5697,35,0,72,0,10060,18
20,2022-11-24,127602,2,118962,5697,30,1,70,0,10082,22
21,2022-11-25,127631,4,119031,5697,29,2,69,0,10091,9
22,2022-11-26,127672,2,119110,5697,41,0,79,0,10111,20
23,2022-11-27,127710,3,119159,5697,38,2,49,0,10131,20
24,2022-11-28,127764,3,119201,5697,54,0,42,0,10151,20
25,2022-11-29,127814,3,119238,5697,50,0,37,0,10169,18
26,2022-11-30,127938,2,119275,5697,124,0,37,0,10191,22
27,2022-12-01,128022,2,119314,5697,84,1,39,0,10211,20
28,2022-12-02,128141,5,119347,5697,119,3,33,0,10227,16
29,2022-12-03,128245,2,119398,5697,104,1,51,0,10242,15
30,2022-12-04,128319,1,119437,5697,74,0,39,0,10259,17
31,2022-12-05,128393,2,119475,5697,74,1,38,0,10282,23
32,2022-12-06,128502,3,119524,5697,109,2,49,0,10316,34
33,2022-12-07,128602,4,119574,5697,100,1,50,0,10346,30
34,2022-12-08,128690,2,119602,5697,88,0,28,0,10369,23
35,2022-12-09,128776,1,119634,5697,86,0,32,0,10395,26
36,2022-12-10,128884,1,119674,5697,108,0,40,0,10431,36
37,2022-12-11,128970,2,119704,5697,86,1,30,0,10457,26
38,2022-12-12,129082,2,119750,5697,112,0,46,0,10478,21
39,2022-12-13,129165,1,119781,5697,83,0,31,0,10503,25
40,2022-12-14,129247,1,119826,5697,82,0,45,0,10520,17
41,2022-12-15,129332,1,119857,5698,85,0,31,1,10528,8
42,2022-12-16,129430,4,119883,5698,98,3,26,0,10548,20
43,2022-12-17,129577,6,119916,5698,147,3,33,0,10584,36
44,2022-12-18,129678,5,119964,5698,101,2,48,0,10623,39
45,2022-12-19,129794,4,120017,5699,116,1,53,1,10688,65
46,2022-12-20,129893,1,120066,5699,99,0,49,0,10712,24
47,2022-12-21,129988,3,120146,5699,95,2,80,0,10732,20
48,2022-12-22,130109,3,120188,5699,121,0,42,0,10761,29
49,2022-12-23,130211,8,120249,5699,102,6,61,0,10793,32
50,2022-12-24,130376,10,120362,5699,165,6,113,0,10846,53
51,2022-12-25,130625,3,120438,5699,249,0,76,0,10894,48
52,2022-12-26,130858,6,120491,5699,233,4,53,0,10932,38
53,2022-12-27,131093,3,120583,5699,235,0,92,0,10959,27
54,2022-12-28,131315,3,120640,5699,222,2,57,0,11004,45
55,2022-12-29,131550,2,120701,5699,235,2,61,0,11055,51
56,2022-12-30,131780,2,120748,5699,232,1,47,0,11083,29
57,2022-12-31,132071,1,120817,5699,291,1,69,0,11139,56
58,2022-01-01,132301,1,120884,5699,230,1,67,0,11199,60
59,2022-01-02,132479,0,120936,5699,178,0,52,0,11259,60
60,2022-01-03,132692,3,120987,5699,213,3,51,0,11326,67
