id,area,asymptomatic,asymptomaticRelative,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedRelative,died,diedRelative,icuDisable,nativeRelative,overseasInputRelative
1,西藏,0,0,1,0,1,0,0,0,0,0,1,0,0
2,澳门,0,0,79,0,79,0,0,0,0,0,1,0,0
3,青海,0,0,30,0,30,0,0,0,0,0,1,0,0
4,台湾,0,0,18634,131,13742,4041,131,0,851,0,1,0,0
5,香港,0,0,13450,188,12687,550,156,32,213,0,1,0,0
6,贵州,0,0,161,1,158,1,1,0,2,0,1,1,0
7,吉林,0,0,591,0,586,2,0,0,3,0,1,0,0
8,新疆,29,1,992,1,978,11,1,0,3,0,1,1,0
9,宁夏,0,0,122,0,122,0,0,0,0,0,1,0,0
10,内蒙古,0,0,1191,0,1190,0,0,0,1,0,1,0,0
11,甘肃,0,0,356,0,354,0,0,0,2,0,1,0,0
12,天津,7,0,1020,4,863,154,-41,45,3,0,1,4,0
13,山西,0,0,267,0,265,2,0,0,0,0,1,0,0
14,辽宁,30,0,811,0,800,9,0,0,2,0,1,0,0
15,黑龙江,28,9,2053,9,2022,18,9,0,13,0,1,9,0
16,海南,0,0,190,0,184,0,0,0,6,0,1,0,0
17,河北,0,0,1468,0,1451,10,0,0,7,0,1,0,0
18,陕西,0,0,2826,0,2709,114,-25,25,3,0,1,0,0
19,云南,154,8,1877,5,1807,68,5,0,2,0,1,0,5
20,广西,151,1,706,1,531,173,-15,16,2,0,1,0,1
21,福建,16,0,1453,0,1383,69,-3,3,1,0,1,0,0
22,上海,20,0,3717,7,3366,344,-21,28,7,0,1,0,7
23,北京,134,16,1317,14,1212,96,11,3,9,0,1,12,2
24,江苏,12,0,1629,0,1627,2,0,0,0,0,1,0,0
25,四川,19,0,1373,0,1326,44,0,0,3,0,1,0,0
26,山东,9,1,1072,2,1039,26,1,1,7,0,1,0,2
27,江西,2,0,959,0,958,0,0,0,1,0,1,0,0
28,重庆,5,0,612,0,605,1,0,0,6,0,1,0,0
29,安徽,2,0,1009,0,1003,0,0,0,6,0,1,0,0
30,湖南,4,0,1230,0,1209,17,-1,1,4,0,1,0,0
31,河南,9,4,2648,0,1828,798,-18,18,22,0,1,0,0
32,广东,91,6,3737,7,3523,206,-1,8,8,0,1,0,7
33,浙江,91,1,2149,25,1842,306,25,0,1,0,1,24,1
34,湖北,9,1,68320,0,63806,2,0,0,4512,0,1,0,0
