id,date,content,link
11,2021-12-08,关于嘉兴市新冠密切接触者处置情况的通报,http://baijiahao.baidu.com/s?id=1718538972124833867&amp;wfr=spider&amp;for=pc
12,2021-12-21,嘉兴市委书记张兵:坚决打赢疫情防控阻击战,https://i.ifeng.com/c/8C9R0zDiOri
13,2021-12-17,浙江疫情今天最新通报:昨日新增确诊病例44例嘉兴两所高校第一次...,https://baijiahao.baidu.com/s?id=1719356847815805959&amp;wfr=spider&amp;for=pc
14,2021-12-15,嘉兴市疫情防控工作指导检查组来桐督查疫情防控工作,https://www.163.com/dy/article/GR90TANH0552ADWT.html
15,2021-12-24,嘉兴市公共场所绷紧疫情防控之弦,https://www.163.com/dy/article/GS0K9HOO0552ADWT.html
16,2021-12-18,浙江累计阳性440例!嘉兴3天采样6万+大规模排查2.8万!八佰伴今天...,https://www.sohu.com/a/509513415_121117483
17,2021-12-17,嘉兴市统计局积极参与疫情防控志愿服务,http://dy.163.com/article/GREU9N850552ADWT.html
18,2021-12-13,嘉兴市南湖区人民检察院关于疫情防控期间检察服务及相关事项提示,https://new.qq.com/omn/20171106/20211213A073Y700.html
19,2021-08-24,嘉兴:全市宗教界严密做好疫情防控工作,http://www.thepaper.cn/newsDetail_forward_14196814
20,2021-11-04,已排查筛查对象15331人!嘉兴市发布最新疫情防控情况,https://new.qq.com/omn/ENT20190/20211104A0473O00.html
1,2022-02-25,守住嘉兴“大门” 展现“硬核”担当,http://finance.sina.com.cn/jjxw/2022-02-25/doc-imcwipih5227150.shtml
2,2022-02-24,嘉兴二地发布疫情防控紧急通知!,https://new.qq.com/omn/20220224/20220224A07QQT00.html
3,2022-02-17,嘉兴发布疫情防控措施调整公告、苏州7地调整为中风险地区,https://baijiahao.baidu.com/s?id=1724993603056727559&amp;wfr=spider&amp;for=pc
4,2022-02-25,坚决守牢疫情防线!嘉兴多地发布通报、涉及8名密接!,https://xw.qq.com/amphtml/20220225A04YAK00
5,2022-02-24,疫情迭起!嘉兴多地连夜紧急发布!以下人员暂缓来嘉返嘉!,https://new.qq.com/omn/20220224/20220224A03P8H00.html
6,2022-02-15,嘉兴发布新冠肺炎疫情防控工作通告(第21号),http://baijiahao.baidu.com/s?id=1724817633190123598&amp;wfr=spider&amp;for=pc
7,2022-02-16,苏州7地调整为中风险地区、嘉兴市秀洲区调整疫情防控措施,http://baijiahao.baidu.com/s?id=1724883458455963497&amp;wfr=spider&amp;for=pc
8,2022-02-15,嘉兴市疾控中心发布最新疫情防控提醒!,https://www.163.com/dy/article/H097TNJJ0552CPB8.html
9,2022-02-16,苏州7地调整为中风险地区、嘉兴市秀洲区调整疫情防控措施,https://baijiahao.baidu.com/s?id=1724883437660532223&amp;wfr=spider&amp;for=pc
10,2022-02-23,新冠疫苗加强针也可以“混打”!要注意什么?嘉兴市疾控中心专家...,https://xw.qq.com/amphtml/20220223A08WRI00
21,2022-02-24,浙江两地发布最新通告:这些人员请及时报备,http://k.sina.com.cn/article_1701846521_65701df9019012yx2.html
22,2022-02-23,【公交新闻】嘉兴公交多措并举抓好疫情防控工作,http://dy.163.com/article/H0TPVLIJ0534NDWJ.html
23,2022-02-22,最新!嘉兴又有3地发布疫情防控提醒,https://baijiahao.baidu.com/s?id=1725444766433676382&amp;wfr=spider&amp;for=pc
24,2022-02-22,嘉兴平安产险:疫情防控常抓不懈,http://finance.sina.com.cn/jjxw/2022-02-22/doc-imcwipih4691651.shtml
25,2022-02-15,嘉兴市疾控中心发布最新疫情防控提醒!,http://baijiahao.baidu.com/s?id=1724792388995773302&amp;wfr=spider&amp;for=pc
26,2022-02-16,苏州疫情已关联至无锡、南通、嘉兴出现密接人员!,https://view.inews.qq.com/a/20220216A02LAC00
27,2022-02-16,追踪| 苏州疫情已关联至无锡、南通、嘉兴出现密接人员!,http://www.cnhubei.com/content/2022-02/16/content_14503411.html
28,2022-02-16,警惕!多地发现阳性人员!一家五口全部中招…,http://k.sina.com.cn/article_1698784044_6541632c01900z4rz.html
29,2022-02-22,导航提醒:前方进入防疫检查点!|防疫|嘉兴市|疫情_新浪新闻,http://k.sina.com.cn/article_1999959193_m7734f49903300wx7h.html
30,2022-02-15,“疫”不容迟!嘉兴未雨绸缪从严从紧筑牢疫情防控线,https://www.sohu.com/a/523041030_121123876
31,2022-02-18,嘉兴市疾控中心发出最新提醒:关注疫情动态、有时空交集者立即报告!,http://k.sina.com.cn/article_1999959193_m7734f49903300wug4.html
32,2022-01-30,春节期间疫情防控如何做?嘉兴市疾控中心向全体市民发出健康提示,https://baijiahao.baidu.com/s?id=1723342895511838993&amp;wfr=spider&amp;for=pc
33,2022-01-27,减少聚集性活动规模 浙江公布各地最新疫情防控措施,http://zj.people.com.cn/n2/2022/0127/c186327-35115524.html
34,2022-01-20,疫情防控最新提醒,https://www.sohu.com/a/517913001_121123868
35,2022-01-16,浙江嘉兴市海盐县发现1例新冠核酸检测混检异常,http://baijiahao.baidu.com/s?id=1722102498520627862&amp;wfr=spider&amp;for=pc
36,2022-01-11,嘉兴市新冠疫苗全民接种、服务在曹庄,https://xw.qq.com/cmsid/20220111A036EN00
37,2022-01-10,嘉兴市疫情防控办紧急提醒!天津市等地来嘉返嘉人员、请立即报备,http://jx.zjol.com.cn/202201/t20220109_23619709_ext.shtml
38,2022-01-04,新年上班第一天 嘉兴市委书记一线调研这件事,https://zj.zjol.com.cn/news.html?id=1789045
39,2022-02-17,封闭省界道路、收紧疫情防控!,https://xw.qq.com/cmsid/20220217A07CLB00
40,2021-12-19,嘉兴学院:在疫情面前跑出“嘉”速度,https://baijiahao.baidu.com/s?id=1719535525928436163&amp;wfr=spider&amp;for=pc
41,2022-02-18,嘉兴通报一确诊病例的同车厢密接者行程轨迹、涉商场、酒店、KTV,http://baijiahao.baidu.com/s?id=1725069775352110980&amp;wfr=spider&amp;for=pc
42,2022-02-15,嘉兴市疾控中心发布最新疫情防控提醒!,http://baijiahao.baidu.com/s?id=1724792388995773302&amp;wfr=spider&amp;for=pc
43,2022-02-07,返岗复工第一天、嘉兴多地发布最新政策和提醒!,http://news.sohu.com/a/521152555_99978845
44,2022-02-16,警惕!多地发现阳性人员!一家五口全部中招…,http://k.sina.com.cn/article_1698784044_6541632c01900z4rz.html
45,2022-02-18,...密接者活动轨迹公布!共同助力疫情防控|嘉兴市|疫情|密接_新浪...,http://k.sina.com.cn/article_7517400647_m1c0126e4705902tv84.html
46,2022-02-15,“疫”不容迟!嘉兴未雨绸缪从严从紧筑牢疫情防控线,https://www.sohu.com/a/523041030_121123876
47,2022-02-16,周边疫情形势严峻、嘉兴服务区加强防控!,https://new.qq.com/omn/20220216/20220216A07HTW00.html
48,2022-02-25,嘉兴市南湖新区加强进口冷链食品疫情防控监管,http://www.cfsn.cn/front/web/site.newshow?newsid=74284
49,2022-02-17,苏州疫情已关联南通、无锡 嘉兴出现密接人员,https://baijiahao.baidu.com/s?id=1724977254551979926&amp;wfr=spider&amp;for=pc
50,2022-02-03,嘉兴疫情隔离点服务工作日志,https://www.sohu.com/a/520477205_121124573
