id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,库克群岛,9,2,0,9,2,0.0%,0,0,0.0%,0,1
2,基里巴斯,2904,9,1962,931,-74,67.6%,83,11,0.4%,0,1
3,汤加王国,355,0,177,178,0,49.9%,0,0,0.0%,0,1
4,韩国,2831283,165889,969524,1853864,165795,34.2%,0,7895,0.3%,94,1
5,帕劳共和国,3726,0,2942,778,0,79.0%,0,6,0.2%,0,1
6,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
7,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
8,萨摩亚独立国,33,0,3,30,0,9.1%,0,0,0.0%,0,1
9,瓦努阿图共和国,18,0,6,11,0,33.3%,0,1,5.6%,0,1
10,马尔维纳斯群岛,89,0,68,21,0,76.4%,0,0,0.0%,0,1
11,马绍尔群岛,7,0,7,0,0,100.0%,0,0,0.0%,0,1
12,瓦利斯和富图纳群岛,454,0,438,9,0,96.5%,0,7,1.5%,0,1
13,所罗门群岛,6654,306,1658,4904,269,24.9%,32,92,1.4%,5,1
14,莱索托,32612,0,23343,8573,0,71.6%,0,696,2.1%,0,1
15,科摩罗,8032,0,7853,19,0,97.8%,0,160,2.0%,0,1
16,塔吉克斯坦,17388,0,17263,1,0,99.3%,0,124,0.7%,0,1
17,海峡群岛,50384,284,47633,2608,-2,94.5%,285,143,0.3%,1,1
18,阿拉伯联合酋长国,878102,696,828983,46819,-1221,94.4%,1916,2300,0.3%,1,1
19,也门,11759,8,8688,940,-99,73.9%,106,2131,18.1%,1,1
20,圣皮埃尔,1070,7,1049,20,-7,98.0%,14,1,0.1%,0,1
21,圣多美和普林西比,5933,0,5850,11,0,98.6%,0,72,1.2%,0,1
22,南苏丹,16955,4,13250,3568,4,78.1%,0,137,0.8%,0,1
23,马拉维,85295,19,75402,7281,-166,88.4%,183,2612,3.1%,2,1
24,布隆迪,38047,20,773,37236,20,2.0%,0,38,0.1%,0,1
25,塞拉利昂,7665,2,4393,3147,2,57.3%,0,125,1.6%,0,1
26,博茨瓦纳,263950,0,259434,1897,0,98.3%,0,2619,1.0%,0,1
27,百慕大,11490,67,11150,217,13,97.0%,54,123,1.1%,0,1
28,英属维尔京群岛,6074,0,2649,3363,0,43.6%,0,62,1.0%,0,1
29,安圭拉,2528,0,2506,13,0,99.1%,0,9,0.4%,0,1
30,格林纳达,13661,0,13218,229,0,96.8%,0,214,1.6%,0,1
31,圣基茨和尼维斯,5526,1,5472,12,-1,99.0%,2,42,0.8%,0,1
32,特克斯和凯科斯群岛,5860,0,5787,37,0,98.8%,0,36,0.6%,0,1
33,几内亚比绍,7985,13,6977,842,1,87.4%,12,166,2.1%,0,1
34,马里,30365,3,29424,219,-280,96.9%,283,722,2.4%,0,1
35,利比亚,492154,938,457636,28277,-2249,93.0%,3178,6241,1.3%,9,1
36,老挝,142474,304,7660,134193,302,5.4%,0,621,0.4%,2,1
37,伯利兹,56597,75,54453,1494,-119,96.2%,194,650,1.1%,0,1
38,缅甸,581837,2938,530847,31634,1584,91.2%,1350,19356,3.3%,4,1
39,多米尼克,11016,25,10563,396,17,95.9%,8,57,0.5%,0,1
40,莫桑比克,225018,16,219320,3506,-3,97.5%,18,2192,1.0%,1,1
41,叙利亚,54275,120,46518,4692,-98,85.7%,215,3065,5.6%,3,1
42,马恩岛,22660,136,22227,354,51,98.1%,85,79,0.3%,0,1
43,巴布亚新几内亚,41038,290,38856,1544,-75,94.7%,365,638,1.6%,0,1
44,厄立特里亚,9698,2,9587,8,-3,98.9%,5,103,1.1%,0,1
45,乌干达,163164,52,99957,59627,34,61.3%,18,3580,2.2%,0,1
46,安哥拉,98701,3,96622,180,-6,97.9%,9,1899,1.9%,0,1
47,东帝汶,22584,0,21619,839,0,95.7%,0,126,0.6%,0,1
48,新喀里多尼亚,53007,686,42318,10390,-1843,79.8%,2529,299,0.6%,0,1
49,马达加斯加,63433,0,57862,4221,0,91.2%,0,1350,2.1%,0,1
50,津巴布韦,235467,378,225624,4451,162,95.8%,214,5392,2.3%,2,1
51,佛得角,55880,6,55407,72,6,99.2%,0,401,0.7%,0,1
52,蒙特塞拉特,163,0,161,0,0,98.8%,0,2,1.2%,0,1
53,海地,30336,37,25206,4310,16,83.1%,21,820,2.7%,0,1
54,尼日尔,8746,0,8419,21,0,96.3%,0,306,3.5%,0,1
55,乍得,7246,0,4874,2182,0,67.3%,0,190,2.6%,0,1
56,萨尔瓦多,147786,0,123870,19854,-4,83.8%,0,4062,2.7%,4,1
57,尼加拉瓜,18004,0,4225,13559,0,23.5%,0,220,1.2%,0,1
58,斐济,63756,69,61890,1033,42,97.1%,20,833,1.3%,7,1
59,毛里求斯,30858,0,27008,3064,0,87.5%,0,786,2.5%,0,1
60,赞比亚,312374,256,306247,2180,-14,98.0%,270,3947,1.3%,0,1
61,吉布提,15546,2,15351,6,2,98.7%,0,189,1.2%,0,1
62,吉尔吉斯斯坦,200458,25,194918,2586,-109,97.2%,132,2954,1.5%,2,1
63,巴巴多斯,54731,192,52201,2218,-278,95.4%,469,312,0.6%,1,1
64,黑山,229836,406,225304,1858,-313,98.0%,715,2674,1.2%,4,1
65,冈比亚,11924,0,11461,98,0,96.1%,0,365,3.1%,0,1
66,格陵兰岛,11715,44,2761,8938,44,23.6%,0,16,0.1%,0,1
67,贝宁,26567,0,25506,898,0,96.0%,0,163,0.6%,0,1
68,索马里,26313,0,13182,11783,0,50.1%,0,1348,5.1%,0,1
69,坦桑尼亚,33620,0,183,32639,0,0.5%,0,798,2.4%,0,1
70,利比里亚,7360,0,5747,1323,0,78.1%,0,290,3.9%,0,1
71,圭亚那合作共和国,62856,19,60877,763,-75,96.9%,93,1216,1.9%,1,1
72,马约特,36662,0,2964,33511,0,8.1%,0,187,0.5%,0,1
73,巴哈马,33108,24,26197,6140,-55,79.1%,78,771,2.3%,1,1
74,乌兹别克斯坦,236174,156,232049,2495,-360,98.3%,514,1630,0.7%,2,1
75,瓜德罗普,126642,0,2250,123555,0,1.8%,0,837,0.7%,0,1
76,开曼群岛,19373,0,8553,10803,0,44.1%,0,17,0.1%,0,1
77,刚果（布）,23967,42,20178,3411,41,84.2%,0,378,1.6%,1,1
78,中非共和国,14187,0,6859,7215,0,48.3%,0,113,0.8%,0,1
79,塞舌尔,39181,0,38481,540,0,98.2%,0,160,0.4%,0,1
80,赤道几内亚,15877,3,15653,42,-25,98.6%,28,182,1.1%,0,1
81,纳米比亚,157133,22,152652,474,-44,97.1%,64,4007,2.6%,2,1
82,卢旺达,129483,32,45522,82504,32,35.2%,0,1457,1.1%,0,1
83,斯威士兰,69119,45,67576,153,25,97.8%,20,1390,2.0%,0,1
84,毛里塔尼亚,58626,0,57591,57,-15,98.2%,15,978,1.7%,0,1
85,阿鲁巴,33670,12,33393,66,5,99.2%,7,211,0.6%,0,1
86,钻石公主号邮轮,712,0,699,0,0,98.2%,0,13,1.8%,0,1
87,苏里南,78070,81,49353,27402,80,63.2%,0,1315,1.7%,1,1
88,库拉索,38896,39,38255,380,-1,98.4%,40,261,0.7%,0,1
89,圣卢西亚,22649,33,21980,311,-303,97.0%,335,358,1.6%,1,1
90,圣文森特和格林纳丁斯,6738,0,6574,58,0,97.6%,0,106,1.6%,0,1
91,安提瓜和巴布达,7437,6,7253,49,-8,97.5%,14,135,1.8%,0,1
92,危地马拉,773575,3660,710492,46144,-49,91.8%,3664,16939,2.2%,45,1
93,乌拉圭,835346,4136,801102,27295,-2495,95.9%,6618,6949,0.8%,13,1
94,委内瑞拉,513427,387,500530,7269,-788,97.5%,1174,5628,1.1%,1,1
95,苏丹,61376,26,40329,17146,20,65.7%,0,3901,6.4%,6,1
96,几内亚,36393,0,32939,3014,0,90.5%,0,440,1.2%,0,1
97,埃塞俄比亚,468606,69,414923,46229,-1610,88.5%,1675,7454,1.6%,4,1
98,哈萨克斯坦,1301708,523,1265248,22881,-1485,97.2%,1996,13579,1.0%,12,1
99,肯尼亚,322869,0,303198,14033,0,93.9%,0,5638,1.7%,0,1
100,特立尼达和多巴哥,126502,654,100076,22818,647,79.1%,0,3608,2.9%,7,1
101,加蓬,47520,0,45743,1474,0,96.3%,0,303,0.6%,0,1
102,加纳,159124,0,157133,549,0,98.7%,0,1442,0.9%,0,1
103,法属波利尼西亚,65583,1234,33500,31445,1233,51.1%,0,638,1.0%,1,1
104,古巴,1068148,595,1057009,2645,-142,99.0%,737,8494,0.8%,0,1
105,留尼汪岛,292126,0,274185,17301,0,93.9%,0,640,0.2%,0,1
106,科特迪瓦,81449,20,79764,893,-77,97.9%,96,792,1.0%,1,1
107,洪都拉斯,411212,2756,127663,272829,2333,31.0%,374,10720,2.6%,49,1
108,玻利维亚,892537,0,784681,86442,0,87.9%,0,21414,2.4%,0,1
109,圣马丁岛,9546,7,9415,46,1,98.6%,6,85,0.9%,0,1
110,圣巴泰勒米岛,3758,23,462,3290,23,12.3%,0,6,0.2%,0,1
111,牙买加,127856,58,76133,48913,-229,59.5%,277,2810,2.2%,10,1
112,土耳其,13913625,79708,13133955,685865,-14986,94.4%,94413,93805,0.7%,281,1
113,刚果（金）,85999,62,50930,33734,62,59.2%,0,1335,1.6%,0,1
114,巴拿马,754362,787,738550,7749,-119,97.9%,895,8063,1.1%,11,1
115,蒙古国,463725,517,313256,148302,513,67.6%,0,2167,0.5%,4,1
116,布基纳法索,20751,0,20309,67,0,97.9%,0,375,1.8%,0,1
117,塞浦路斯,315000,0,124370,189782,0,39.5%,0,848,0.3%,0,1
118,文莱,51516,3461,24848,26553,2204,48.2%,1255,115,0.2%,2,1
119,马提尼克,112901,0,104,111921,0,0.1%,0,876,0.8%,0,1
120,法属圭亚那,77652,18,11254,66007,18,14.5%,0,391,0.5%,0,1
121,法罗群岛,32044,0,7693,24327,0,24.0%,0,24,0.1%,0,1
122,阿尔巴尼亚,271141,194,264287,3396,-185,97.5%,378,3458,1.3%,1,1
123,孟加拉国,1941057,1406,1793082,118959,-5541,92.4%,6936,29016,1.5%,11,1
124,保加利亚,1086328,2854,829803,221092,-6221,76.4%,9016,35433,3.3%,59,1
125,摩尔多瓦,500144,1069,473540,15419,-355,94.7%,1410,11185,2.2%,14,1
126,马尔代夫,168631,628,152968,15369,-491,90.7%,1118,294,0.2%,1,1
127,巴拉圭,639813,925,605518,15962,-1021,94.6%,1912,18333,2.9%,34,1
128,马耳他,71083,80,69345,1137,-8,97.6%,88,601,0.8%,0,1
129,哥斯达黎加,802472,2796,659607,134866,-3065,82.2%,5846,7999,1.0%,15,1
130,哥伦比亚,6058715,2249,5883546,36668,-1183,97.1%,3375,138501,2.3%,57,1
131,多哥,36782,6,36410,100,5,99.0%,1,272,0.7%,0,1
132,秘鲁,3508642,2183,1720665,1577748,1994,49.0%,0,210229,6.0%,189,1
133,斯洛伐克,1433930,12829,1208550,206967,-7235,84.3%,20027,18413,1.3%,37,1
134,喀麦隆,119240,133,117089,228,-10909,98.2%,11039,1923,1.6%,3,1
135,梵蒂冈,29,0,28,1,0,96.6%,0,0,0.0%,0,1
136,塞尔维亚,1903494,6919,1764723,123661,-27803,92.7%,34622,15110,0.8%,100,1
137,直布罗陀,15313,86,14599,613,35,95.3%,51,101,0.7%,0,1
138,不丹,11369,359,7423,3940,130,65.3%,229,6,0.1%,0,1
139,列支敦士登,11752,107,11187,487,24,95.2%,82,78,0.7%,1,1
140,巴勒斯坦,574615,1761,548116,21295,-6299,95.4%,8035,5204,0.9%,25,1
141,南非,3669671,2411,3536503,34023,636,96.4%,1735,99145,2.7%,40,1
142,波黑,370652,0,192218,163023,0,51.9%,0,15411,4.2%,0,1
143,匈牙利,1779174,4498,1566509,168913,-4885,88.0%,9295,43752,2.5%,88,1
144,斯洛文尼亚,889202,1978,830237,52701,-5612,93.4%,7582,6264,0.7%,8,1
145,波兰,5637646,16700,5020672,505918,-834,89.1%,17336,111056,2.0%,198,1
146,阿根廷,8887973,10298,8644638,117377,-2657,97.3%,12858,125958,1.4%,97,1
147,智利,2985873,31978,1979918,964036,11587,66.3%,20267,41919,1.4%,124,1
148,乌克兰,4809624,0,4058020,646099,0,84.4%,0,105505,2.2%,0,1
149,沙特阿拉伯,743205,664,720388,13824,-747,96.9%,1409,8993,1.2%,2,1
150,突尼斯,994543,0,941406,25469,0,94.7%,0,27668,2.8%,0,1
151,塞内加尔,85651,14,83595,96,-9,97.6%,23,1960,2.3%,0,1
152,拉脱维亚,633960,9952,483342,145427,-1670,76.2%,11590,5191,0.8%,32,1
153,摩洛哥,1160562,362,1139318,5284,-425,98.2%,773,15960,1.4%,14,1
154,约旦,1614698,7415,1484549,116364,-9406,91.9%,16805,13785,0.9%,16,1
155,葡萄牙,3241451,22012,2764245,456233,-10275,85.3%,32236,20973,0.6%,51,1
156,安道尔,37999,57,37135,713,16,97.7%,41,151,0.4%,0,1
157,印度尼西亚,5457775,49447,4736234,573955,-12158,86.8%,61361,147586,2.7%,244,1
158,捷克,3568717,10081,3419965,110194,-21422,95.8%,31445,38558,1.1%,58,1
159,多米尼加,573776,0,567749,1662,0,98.9%,0,4365,0.8%,0,1
160,亚美尼亚,419423,572,399704,11286,-1020,95.3%,1571,8433,2.0%,21,1
161,爱尔兰,1292212,3729,1152796,132941,-277,89.2%,3995,6475,0.5%,11,1
162,卢森堡,181903,819,171378,9537,-539,94.2%,1358,988,0.5%,0,1
163,厄瓜多尔,827760,7219,443880,348657,7168,53.6%,0,35223,4.3%,51,1
164,卡塔尔,356066,0,350967,4435,0,98.6%,0,664,0.2%,0,1
165,圣马力诺,14207,0,13703,392,0,96.5%,0,112,0.8%,0,1
166,摩纳哥,9359,26,9098,210,11,97.2%,15,51,0.5%,0,1
167,冰岛,123373,5132,75685,47627,5132,61.3%,0,61,0.0%,0,1
168,墨西哥,5489127,18252,4750337,421107,-1167,86.5%,19057,317683,5.8%,362,1
169,阿塞拜疆,782748,0,757892,15498,0,96.8%,0,9358,1.2%,0,1
170,白俄罗斯,907978,5663,895092,6448,-483,98.6%,6129,6438,0.7%,17,1
171,新西兰,71122,12024,17947,53119,11771,25.2%,253,56,0.1%,0,1
172,立陶宛,896910,5675,804752,83771,-781,89.7%,6424,8387,0.9%,32,1
173,尼日利亚,254428,34,248850,2436,-17970,97.8%,18004,3142,1.2%,0,1
174,埃及,478984,1832,409748,45279,-193,85.5%,1987,23957,5.0%,38,1
175,荷兰,6272493,37540,4127391,2123563,-30166,65.8%,67698,21539,0.3%,8,1
176,爱沙尼亚,487955,5014,364133,121618,2550,74.6%,2448,2204,0.5%,16,1
177,丹麦,2586038,21512,2137231,444306,-23691,82.6%,45163,4501,0.2%,40,1
178,罗马尼亚,2717289,8974,2430275,223821,-21088,89.4%,29942,63193,2.3%,120,1
179,北马其顿,296229,630,282604,4644,-287,95.4%,907,8981,3.0%,10,1
180,挪威,1217306,15595,88952,1126756,15595,7.3%,0,1598,0.1%,0,1
181,格鲁吉亚,1598172,7482,1477481,104594,-7153,92.4%,14603,16097,1.0%,32,1
