id,content,count
1,疫情,332
2,核酸检测,111
3,核酸,106
4,防控,86
5,确诊病例,70
6,人员,67
7,工作,61
8,希望,52
9,报告,51
10,小时,49
11,新冠肺炎,42
12,隔离,41
13,快递,41
14,][,41
15,西安,40
16,吉林,36
17,邮件,36
18,本轮,36
19,上海,34
20,结束,33
21,真的,31
22,做好,31
23,期间,29
24,允悲,29
25,发布,28
26,西安市,28
27,doge,27
28,岁,26
29,时间,25
30,本土,25
31,阳性,25
32,防疫,25
33,情况,24
34,72,24
35,新增,24
36,人民,23
37,指挥部,23
38,妈妈,23
39,生活,22
40,地区,22
41,防护,22
42,配合,21
43,服务,21
44,群众,21
45,中医药,21
46,公共,20
47,单位,20
48,市级,20
49,专家组,20
50,诊断,20
51,开放,19
52,相关,19
53,2022年,19
54,健康,19
55,密切接触者,19
56,[泪,18
57,口罩,18
58,活动,18
59,主动,18
60,社区,18
61,全国,18
62,全员,18
63,寅,18
64,文,18
65,提示,17
66,排队,17
67,确诊,16
68,建议,16
69,北京,16
70,阴性,16
71,办公室,16
72,风险,16
73,小区,16
74,区域,16
75,长春,15
76,中国,15
77,美好,15
78,检测,15
79,抗疫,15
80,政策,15
81,发展,15
82,莲湖区,15
83,封,14
84,天天,14
85,下午,14
86,快点,14
87,回家,14
88,症状,14
89,青岛,14
90,学校,14
91,苦涩,14
92,轻型,14
93,暂停,14
94,上班,14
95,大学,13
96,免费,13
97,求求,13
98,取消,13
99,通知,13
100,科技,13
101,病毒,13
102,考试,13
103,医院,13
104,接触,13
105,轨迹,13
106,早点,13
107,爸爸,13
108,学生,13
109,城市,13
110,出入,13
111,核验,13
112,公司,12
113,买,12
114,早日,12
115,信息,12
116,证明,12
117,接收,12
118,郑州市,12
119,境外,12
120,包装,12
121,发热,12
122,交通,12
123,代表,12
124,加油,12
125,感觉,12
126,轮,12
127,支持,12
128,世界,11
129,京,11
130,国家,11
131,国内,11
132,女,11
133,48,11
134,吃,11
135,高风险,11
136,消毒,11
137,处置,11
138,医疗,11
139,采样,11
140,居家,11
141,恢复,11
142,12日,11
143,雷锋,11
144,经济,10
145,传播,10
146,🙏,10
147,搞,10
148,郑州,10
149,距离,10
150,男,10
151,葛明华,10
152,企业,10
153,安排,10
154,身体,10
155,创新,10
156,高新区,10
157,日子,9
158,走,9
159,封校,9
160,两会,9
161,泪],9
162,记者,9
163,开心,9
164,努力,9
165,坐,9
166,社会,9
167,四,9
168,异常,9
169,措施,9
170,早上,9
171,春天,9
172,出门,9
173,陕西,9
174,武汉,9
175,悲],9
176,出行,9
177,政府,9
178,办理,9
179,事变,9
180,纪念馆,9
181,基本面,9
182,任期,9
183,尹,9
184,锡悦,9
185,总统,9
186,通告,9
187,场所,9
188,居民,9
189,农业,8
190,学院,8
191,筛查,8
192,快快,8
193,手套,8
194,静置,8
195,含,8
196,消毒剂,8
197,拆完,8
198,定点,8
199,机构,8
200,傻,8
201,党史,8
202,日语,8
203,明天,8
204,新型,8
205,34,8
206,宝鸡市,8
207,感染者,8
208,人大,8
209,跌,8
210,不便,8
211,悲伤,8
212,站,8
213,连续,8
214,占,8
215,组织,8
216,市民,8
217,朋友,8
218,⭕️,8
219,慢慢,8
220,依然,8
221,教育,8
222,伯礼,8
223,传承,8
224,志愿,8
225,新冠,7
226,日常,7
227,回归,7
228,老师,7
229,香港,7
230,公安局,7
231,网络,7
232,公安,7
233,落地,7
234,刷,7
235,喝,7
236,环境,7
237,管控,7
238,重点,7
239,力量,7
240,吉林省,7
241,戴,7
242,感谢,7
243,来源,7
244,新闻,7
245,这是,7
246,青春,7
247,0时,7
248,无症状感染者,7
249,新冠病毒,7
250,贡献,7
251,安保,7
252,开启,7
253,接种疫苗,7
254,生命,7
255,落实,7
256,返,7
257,地点,7
258,未来,7
259,身边,7
260,中药,7
261,市,7
262,保护,7
263,精神,7
264,时光,6
265,可怜,6
266,关注,6
267,提醒,6
268,终于,6
269,有人,6
270,送,6
271,真心,6
272,一半,6
273,佩戴,6
274,分钟,6
275,规范,6
276,前往,6
277,作业,6
278,啊啊,6
279,花花,6
280,回,6
281,队伍,6
282,动态,6
283,在家,6
284,东方,6
285,普通型,6
286,外省,6
287,小杨,6
288,烤肉,6
289,东新街,6
290,店,6
291,威武,6
292,带来,6
293,冠状,6
294,等待,6
295,[心,6
296,发布会,6
297,后续,6
298,🙏🙏,6
299,调整,6
300,A股,6
301,韩联社,6
302,紧急,6
303,外交,6
304,关键,6
305,立场,6
306,钱,6
307,物资,6
308,走开,6
309,笑哈哈,6
310,保障,6
311,测温,6
312,自我,6
313,少年,6
314,懂得,6
315,来自于,6
316,选择,6
317,儿子,6
318,中心,6
319,辖区,6
320,发生,5
321,面对,5
322,形势,5
323,每次,5
324,好不容易,5
325,部门,5
326,民警,5
327,[怒,5
328,渠道,5
329,物,5
330,正确,5
331,洗手,5
332,带,5
333,收取,5
334,咳嗽,5
335,乘坐,5
336,就医,5
337,[话筒,5
338,话筒,5
339,疾控,5
340,迟到,5
341,睡,5
342,号,5
343,手机,5
344,超棒,5
345,呜呜呜,5
346,值得,5
347,研究,5
348,宝鸡,5
349,初心,5
350,国泰民安,5
351,[笑cry,5
352,同城,5
353,校园,5
354,提供,5
355,感冒,5
356,队,5
357,车站,5
358,九台,5
359,车票,5
360,退票,5
361,计划,5
362,实验室,5
363,公告,5
364,敬请,5
365,简单,5
366,玩,5
367,应对,5
368,正式,5
369,号召,5
370,排查,5
371,外来,5
372,出示,5
373,三年,5
374,期待,5
375,技术,5
376,应急,5
377,警察,5
378,命,5
379,学,5
380,难过,4
381,高中,4
382,本来,4
383,记录,4
384,孩子,4
385,精力,4
386,宿舍,4
387,中午,4
388,高铁,4
389,下班,4
390,充满,4
391,救治,4
392,汉中,4
393,网民,4
394,网上,4
395,依法,4
396,旅客,4
397,车辆,4
398,肯定,4
399,瞬间,4
400,想要,4
401,时刻,4
402,凌晨,4
403,花式,4
404,证明卡,4
405,赶紧,4
406,享受,4
407,气死,4
408,这时候,4
409,硬撑,4
410,P,4
411,接连封,4
412,所有人,4
413,挤,4
414,测核酸,4
415,500+人,4
416,着测,4
417,入郑,4
418,寄递,4
419,收到,4
420,一次性,4
421,提倡,4
422,投递,4
423,当面,4
424,签收,4
425,快递员,4
426,拆件,4
427,氯,4
428,75%,4
429,酒精,4
430,依次,4
431,对外,4
432,通风处,4
433,方可,4
434,取出,4
435,内件,4
436,物品,4
437,摘下,4
438,清洗,4
439,双手,4
440,清洁,4
441,手触,4
442,碰口,4
443,鼻,4
444,外包装,4
445,垃圾,4
446,妥善,4
447,前提,4
448,进返,4
449,病例,4
450,交集,4
451,接到,4
452,宝弹,4
453,晚睡,4
454,早起,4
455,排错队,4
456,泡酸,4
457,辣粉,4
458,忘记,4
459,放调,4
460,料包,4
461,心理学,4
462,重复,4
463,记成,4
464,疑惑,4
465,实际上,4
466,直播,4
467,课迟,4
468,无语,4
469,23点,4
470,鸡肉丸,4
471,鞋子,4
472,关掉,4
473,崴脚,4
474,教室,4
475,上课,4
476,6:30,4
477,奇怪,4
478,牙龈,4
479,有没有,4
480,喉咙,4
481,刷牙龈,4
482,保佑,4
483,⃣,4
484,毁掉,4
485,清早,4
486,睁开,4
487,今日,4
488,持续,4
489,姐姐,4
490,命运,4
491,求助,4
492,筛,4
493,树叶,4
494,年纪,4
495,门诊,4
496,就诊,4
497,治疗,4
498,医务,4
499,长城,4
500,无恙,4
501,爆料,4
502,变化,4
503,想到,4
504,波,4
505,深圳,4
506,张雄,4
507,飞机,4
508,职业,4
509,教资,4
510,超话,4
511,业务,4
512,零时,4
513,混乱,4
514,[裂,4
515,开],4
516,境外输入,4
517,楼,4
518,拉,4
519,好久,4
520,美国,4
521,建立,4
522,蝙蝠,4
523,试验,4
524,今起,4
525,观众,4
526,谅解,4
527,咨询,4
528,远,4
529,溜达,4
530,抗击,4
531,资源,4
532,指出,4
533,推进,4
534,保证,4
535,差距,4
536,莱西,4
